id;Código IBGE;Nome do Município
1199;5219902;São Francisco de Goiás
1200;5220009;São João d'Aliança
1201;5220058;São João da Paraúna
1202;5220108;São Luís de Montes Belos
1203;5220157;São Luiz do Norte
1204;5220207;São Miguel do Araguaia
1205;5220264;São Miguel do Passa Quatro
1206;5220280;São Patrício
1207;5220405;São Simão
1208;5220454;Senador Canedo
1209;5220504;Serranópolis
1210;5220603;Silvânia
1211;5220686;Simolândia
1212;5220702;Sítio d'Abadia
1213;5221007;Taquaral de Goiás
1214;5221080;Teresina de Goiás
1215;5221197;Terezópolis de Goiás
1216;5221304;Três Ranchos
1217;5221403;Trindade
1218;5221452;Trombas
1219;5221502;Turvânia
1220;5221551;Turvelândia
1221;5221577;Uirapuru
1222;5221601;Uruaçu
1223;5221700;Uruana
1224;5221809;Urutaí
1225;5221858;Valparaíso de Goiás
1226;5221908;Varjão
1227;5222005;Vianópolis
1228;5222054;Vicentinópolis
1229;5222203;Vila Boa
1230;5222302;Vila Propício
