Posição;id_municipio;Nome do município;Código IBGE
187;1225;Valparaíso de Goiás;5221858
188;1197;Santo Antônio do Descoberto;5219753
189;1204;São Miguel do Araguaia;5220207
190;1173;Porangatu;5218003
191;1131;Montes Claros de Goiás;5213707
192;1011;Aruanã;5202502
193;1132;Montividiu;5213756
194;1016;Bela Vista de Goiás;5203302
195;1009;Araguapaz;5202155
196;987;Acreúna;5200134
197;1032;Caldas Novas;5204508
198;1043;Catalão;5205109
199;1084;Guapó;5209200
200;1099;Itaberaí;5210406
201;1097;Iporá;5210208
202;1176;Posse;5218300
203;1217;Trindade;5221403
204;1181;Rio Quente;5218789
205;1039;Campos Belos;5204904
206;1122;Mara Rosa;5212808
207;1082;Goiatuba;5209101
208;1029;Cachoeira Dourada;5204250
209;1081;Goiás;5208905
210;1184;Sanclerlândia;5219001
211;1222;Uruaçu;5221601
212;1215;Terezópolis de Goiás;5221197
213;1022;Britânia;5203807
214;1171;Planaltina;5217609
215;986;Abadiânia;5200100
216;1210;Silvânia;5220603
217;1127;Minaçu;5213087
218;1000;Anápolis;5201108
219;1031;Caiapônia;5204409
220;1073;Formosa;5208004
221;1054;Corumbaíba;5205901
222;1134;Morrinhos;5213806
223;1094;Inhumas;5210000
224;1105;Itapuranga;5211206
225;1183;Rubiataba;5218904
226;1116;Jussara;5212204
227;1107;Itauçu;5211404
228;1030;Caçu;5204300
229;1078;Goianésia;5208608
230;1182;Rio Verde;5218805
231;1167;Piracanjuba;5217104
232;1158;Palmeiras de Goiás;5215702
233;1172;Pontalina;5217708
234;1067;Edéia;5207402
235;1018;Bom Jesus de Goiás;5203500
236;1178;Quirinópolis;5218508
237;1115;Joviânia;5212105
238;1046;Ceres;5205406
239;1004;Aparecida do Rio Doce;5201454
240;1117;Lagoa Santa;5212253
241;1112;Jataí;5211909
242;1163;Paraúna;5216403
243;1188;Santa Helena de Goiás;5219308
244;1201;São João da Paraúna;5220058
245;1108;Itumbiara;5211503
246;1048;Chapadão do Céu;5205471
