Posição;id_municipio;Nome do município;Código IBGE
186;1011;Aruanã;5202502
187;1132;Montividiu;5213756
188;1016;Bela Vista de Goiás;5203302
189;1009;Araguapaz;5202155
190;987;Acreúna;5200134
191;1003;Aparecida de Goiânia;5201405
192;1032;Caldas Novas;5204508
193;1043;Catalão;5205109
194;1084;Guapó;5209200
195;1099;Itaberaí;5210406
196;1027;Cachoeira Alta;5204102
197;1097;Iporá;5210208
198;1176;Posse;5218300
199;1217;Trindade;5221403
200;1181;Rio Quente;5218789
201;1039;Campos Belos;5204904
202;1122;Mara Rosa;5212808
203;1082;Goiatuba;5209101
204;1029;Cachoeira Dourada;5204250
205;996;Alvorada do Norte;5200803
206;1081;Goiás;5208905
207;1222;Uruaçu;5221601
208;1215;Terezópolis de Goiás;5221197
209;1184;Sanclerlândia;5219001
210;1022;Britânia;5203807
211;1171;Planaltina;5217609
212;986;Abadiânia;5200100
213;1210;Silvânia;5220603
214;1127;Minaçu;5213087
215;1000;Anápolis;5201108
216;1073;Formosa;5208004
217;1031;Caiapônia;5204409
218;1054;Corumbaíba;5205901
219;1134;Morrinhos;5213806
220;1094;Inhumas;5210000
221;1105;Itapuranga;5211206
222;1183;Rubiataba;5218904
223;1116;Jussara;5212204
224;1107;Itauçu;5211404
225;1030;Caçu;5204300
226;1078;Goianésia;5208608
227;1182;Rio Verde;5218805
228;1167;Piracanjuba;5217104
229;1158;Palmeiras de Goiás;5215702
230;1172;Pontalina;5217708
231;1067;Edéia;5207402
232;1079;Goiânia;5208707
233;1018;Bom Jesus de Goiás;5203500
234;1178;Quirinópolis;5218508
235;1115;Joviânia;5212105
236;1046;Ceres;5205406
237;1004;Aparecida do Rio Doce;5201454
238;1117;Lagoa Santa;5212253
239;1112;Jataí;5211909
240;1163;Paraúna;5216403
241;1188;Santa Helena de Goiás;5219308
242;1201;São João da Paraúna;5220058
243;1108;Itumbiara;5211503
244;1128;Mineiros;5213103
245;1048;Chapadão do Céu;5205471
246;1006;Araçu;5201603
