id_municipio;População total urbana;Volume produzido (1000 m³);Volume coletado (1000 m³);Volume tratado (1000 m³);Relação coletado/produzido;Relação tratado/coletado;Relação tratado/produzido;Ano;Possui dado interpolado
1061;2658;126.12;0.0;0.0;0.0;0.0;0.0;2021;False
1062;1890;89.68;0.0;0.0;0.0;0.0;0.0;2021;False
1063;2236;106.1;0.0;0.0;0.0;0.0;0.0;2021;False
1064;4244;201.38;0.0;0.0;0.0;0.0;0.0;2021;False
1065;6477;307.33;0.0;0.0;0.0;0.0;0.0;2021;False
1066;3320;157.53;0.0;0.0;0.0;0.0;0.0;2021;False
1067;11339;538.04;554.17;554.17;1.03;1.0;1.03;2021;False
1068;2937;139.36;0.0;0.0;0.0;0.0;0.0;2021;False
1069;5893;279.62;0.0;0.0;0.0;0.0;0.0;2021;False
1070;4939;234.36;0.0;0.0;0.0;0.0;0.0;2021;False
1071;12283;582.83;0.0;0.0;0.0;0.0;0.0;2021;False
1072;15724;746.1;0.0;0.0;0.0;0.0;0.0;2021;False
1073;113499;5385.53;4124.02;4124.02;0.77;1.0;0.77;2021;False
1074;3700;175.57;0.0;0.0;0.0;0.0;0.0;2021;False
1075;3542;168.07;0.0;0.0;0.0;0.0;0.0;2021;False
1076;10127;480.53;0.0;0.0;0.0;0.0;0.0;2021;False
1077;5101;242.04;0.0;0.0;0.0;0.0;0.0;2021;False
1078;65049;3086.58;2706.29;2706.29;0.88;1.0;0.88;2021;False
1079;1404574;66647.04;70975.98;60472.93;1.06;0.85;0.91;2021;False
1080;41784;1982.65;669.78;669.78;0.34;1.0;0.34;2021;False
1081;19973;947.72;605.67;605.67;0.64;1.0;0.64;2021;False
1082;30975;1469.76;911.03;911.03;0.62;1.0;0.62;2021;False
1083;5486;260.31;0.0;0.0;0.0;0.0;0.0;2021;False
1084;12826;608.59;328.84;328.84;0.54;1.0;0.54;2021;False
1085;1720;81.61;0.0;0.0;0.0;0.0;0.0;2021;False
1086;3431;162.8;0.0;0.0;0.0;0.0;0.0;2021;False
1087;1517;71.98;0.0;0.0;0.0;0.0;0.0;2021;False
1088;3378;160.29;0.0;0.0;0.0;0.0;0.0;2021;False
